state,state_code,commercial_operation_allowed,driverless_testing_allowed,statewide_rules,local_rules_allowed,human_operator_required,special_permit_required,insurance_minimum,policy_summary,source_url,research_status,last_verified,source_name,source_type,source_status,region,jurisdiction_type,include_in_state_ranking,Human-operator restrictions,Market-entry restrictions,Other operational restrictions,Screening and approval,restrictiveness_index,score_status,commercial_access_status
Alabama,AL,1,1,1,0,0,0,0,Alabama authorizes ADS-equipped vehicles under statewide rules and limits separate requirements from political subdivisions.,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2024RS/SB226-enr.pdf,Preliminary review,2026-07-20,Alabama official government source (alison.legislature.state.al.us),Legislation or statute,Source added,South,State,True,0.0,0.0,0.0,0.0,0.0,Provisional,Legal pathway identified
Alaska,AK,0,0,0,1,1,0,0,"Alaska considered autonomous vehicle legislation during the 2025-2026 legislative session, but a settled comprehensive framework for broad commercial driverless operation was not identified in this preliminary review.",https://www.akleg.gov/basis/Bill/Detail/34?Root=HB%20217,Preliminary review,2026-07-20,Alaska official government source (akleg.gov),Legislation or statute,Source added,West,State,True,0.0,1.0,0.1,0.0,1.0,Provisional,No general pathway identified
Arizona,AZ,1,1,1,0,0,1,0,Statewide framework supports testing and commercial operation.,https://azdot.gov/mvd/services/professional-services/autonomous-vehicles-testing-and-operating-state-arizona,Preliminary review,2026-07-20,Arizona Department of Transportation,Transportation agency,Official source verified,West,State,True,0.0,0.0,0.0,0.05,0.05,Provisional,Legal pathway identified
Arkansas,AR,1,1,1,0,0,1,0,Arkansas permits autonomous and fully autonomous vehicles through a State Highway Commission-approved program. Local governments cannot impose separate AV requirements or taxes.,https://arkleg.state.ar.us/Acts/FTPDocument?ddBienniumSession=2021%2F2021R&file=619.pdf&path=%2FACTS%2F2021R%2FPublic%2F,Preliminary review,2026-07-20,Arkansas official government source (arkleg.state.ar.us),Needs source review,Source added,South,State,True,0.0,0.0,0.0,0.05,0.05,Provisional,Legal pathway identified
California,CA,1,1,0,1,0,1,5000000,Commercial deployment is allowed through a more complex permit system.,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/,Preliminary review,2026-07-20,,Missing,Official source added,West,State,True,0.0,0.0,0.15000000000000002,0.05,0.2,Provisional,Legal pathway identified
Colorado,CO,1,1,1,0,0,0,0,Statewide law authorizes automated driving systems and limits separate local standards.,https://leg.colorado.gov/bills/sb17-213,Preliminary review,2026-07-20,Colorado official government source (leg.colorado.gov),Government agency,Source added,West,State,True,0.0,0.0,0.0,0.0,0.0,Provisional,Legal pathway identified
Connecticut,CT,0,0,1,1,1,1,5000000,"Connecticut primarily allows autonomous vehicle testing through a controlled pilot framework. Testers must register vehicles, and the framework does not broadly authorize commercial driverless deployment.",https://www.cga.ct.gov/2017/act/pa/2017PA-00069-R00SB-00260-PA.htm,Preliminary review,2026-07-20,Connecticut official government source (cga.ct.gov),Government agency,Source added,Northeast,State,True,0.0,1.0,0.1,0.0,1.0,Provisional,No general pathway identified
Delaware,DE,0,0,0,1,1,0,0,Delaware maintains a Connected and Autonomous Vehicle Advisory Council. The cited DelDOT material does not establish a statewide framework authorizing broad commercial driverless deployment.,https://deldot.gov/Programs/autonomous-vehicles/index.shtml,Official source reviewed; broad commercial driverless authorization not identified,2026-07-20,Delaware official government source (deldot.gov),Transportation agency,Source added,South,State,True,0.0,1.0,0.1,0.0,1.0,Provisional,No general pathway identified
Florida,FL,1,1,1,0,0,0,0,Fully autonomous operation is permitted under statewide rules.,https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0300-0399%2F0316%2FSections%2F0316.85.html,Preliminary review,2026-07-20,Florida Statutes § 316.85,State statute,Official source verified,South,State,True,0.0,0.0,0.0,0.0,0.0,Provisional,Legal pathway identified
Georgia,GA,1,1,1,0,0,0,0,"Georgia allows fully autonomous vehicles to operate without a human driver when federal safety, registration, insurance, and traffic-law requirements are satisfied.",https://www.legis.ga.gov/api/document/docs/default-source/general-statutes/17sumdoc.pdf,Preliminary review,2026-07-20,Georgia official government source (legis.ga.gov),Legislation or statute,Source added,South,State,True,0.0,0.0,0.0,0.0,0.0,Provisional,Legal pathway identified
Hawaii,HI,0,1,0,1,1,1,0,"Hawaii has deployed autonomous passenger shuttles in a limited airport setting, but no comprehensive statewide framework for broad public commercial driverless service was identified.",https://hidot.hawaii.gov/highways/hdot-launches-autonomous-electric-shuttle-at-daniel-k-inouye-international-airport/,Preliminary review,2026-07-20,Hawaii official government source (hidot.hawaii.gov),Transportation agency,Source added,West,State,True,0.1,0.5,0.1,0.05,0.75,Provisional,No general pathway identified
Idaho,ID,0,0,0,1,1,0,0,"Idaho created a committee to study autonomous vehicle testing and deployment, but no comprehensive statewide framework for broad commercial driverless operation was identified in this review.",https://apps.itd.idaho.gov/Apps/MediaManagerMVC/PressRelease/Preview/6989,Preliminary review,2026-07-20,Idaho official government source (apps.itd.idaho.gov),Government agency,Source added,West,State,True,0.0,1.0,0.1,0.0,1.0,Provisional,No general pathway identified
Illinois,IL,0,0,0,1,1,1,0,"Illinois has considered several competing proposals covering autonomous vehicle testing, deployment, and restrictions. A settled comprehensive statewide commercial framework was not identified in this preliminary review.",https://www.ilga.gov/Legislation/BillStatus?DocNum=4663&DocTypeID=HB&GAID=18&SessionID=114,Preliminary review,2026-07-20,Illinois official government source (ilga.gov),Legislation or statute,Source added,Midwest,State,True,0.0,1.0,0.1,0.0,1.0,Provisional,No general pathway identified
Indiana,IN,0,0,0,1,1,0,0,Indiana does not currently allow fully autonomous vehicles to operate on public roads. Existing vehicle and traffic laws continue to assume the presence of a human driver.,https://www.in.gov/indot/emerging-mobility/connected-and-automated-vehicles/,Preliminary review,2026-07-20,Indiana official government source (in.gov),Government agency,Source added,Midwest,State,True,0.0,1.0,0.1,0.0,1.0,Provisional,No general pathway identified
Iowa,IA,1,1,1,0,0,1,0,Iowa authorizes driverless-capable vehicles under statewide Iowa DOT rules. Level 4 and Level 5 vehicles may operate without a conventional human driver.,https://www.legis.iowa.gov/docs/aco/arc/5621C.pdf,Preliminary review,2026-07-20,Iowa official government source (legis.iowa.gov),Legislation or statute,Source added,Midwest,State,True,0.0,0.0,0.0,0.05,0.05,Provisional,Legal pathway identified
Kansas,KS,1,1,1,0,0,1,0,"Kansas permits driverless-capable vehicles and autonomous transportation networks under statewide rules. Operators must meet insurance, registration, and law-enforcement interaction requirements.",https://www.kslegislature.gov/li_2022/b2021_22/measures/documents/summary_sb_313_2022.pdf,Preliminary review,2026-07-20,Kansas official government source (kslegislature.gov),Legislation or statute,Source added,Midwest,State,True,0.0,0.0,0.0,0.05,0.05,Provisional,Legal pathway identified
Kentucky,KY,1,1,1,0,0,1,1000000,"Kentucky permits fully autonomous operation and uses statewide rules. Vehicles over 62,000 pounds temporarily require a human driver through July 31, 2026.",https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=55488,Preliminary review,2026-07-20,Kentucky official government source (apps.legislature.ky.gov),Legislation or statute,Source added,South,State,True,0.0,0.0,0.0,0.05,0.05,Provisional,Legal pathway identified
Louisiana,LA,1,1,1,0,0,0,0,"Louisiana has statewide rules for autonomous commercial motor vehicles, including vehicles designed to operate without a driver.",https://legis.la.gov/legis/Law.aspx?d=1148306,Preliminary review,2026-07-20,Louisiana official government source (legis.la.gov),Legislation or statute,Source added,South,State,True,0.0,0.0,0.0,0.0,0.0,Provisional,Legal pathway identified
Maine,ME,0,1,1,1,1,1,0,Maine has a state AV pilot program that allows approved testing on public roads. It does not broadly authorize public commercial driverless service.,https://www.maine.gov/sos/sites/maine.gov.sos/files/content/assets/229c800.docx,Preliminary review,2026-07-20,Maine official government source (maine.gov),Government agency,Source added,Northeast,State,True,0.1,0.5,0.1,0.05,0.75,Provisional,No general pathway identified
Maryland,MD,0,0,0,1,1,0,0,Maryland is not coded as permitting broad commercial driverless operation. House Bill 1295 appeared during the 2026 legislative session and described standards for fully autonomous vehicles. Its provisions are not included in the framework coded by this dataset.,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/hb1295?ys=2026rs,Official legislative source reviewed; HB 1295 not included in coded framework,2026-07-20,Maryland official government source (mgaleg.maryland.gov),Government agency,Source added,South,State,True,0.0,1.0,0.1,0.0,1.0,Provisional,No general pathway identified
Massachusetts,MA,0,0,1,1,1,1,5000000,Massachusetts permits approved testing of automated driving systems on public roads. MassDOT approval and designated human test drivers are required under the current testing process.,https://www.mass.gov/guides/testing-automated-driving-systems-in-massachusetts,Preliminary review,2026-07-20,Massachusetts official government source (mass.gov),Government agency,Source added,Northeast,State,True,0.0,1.0,0.1,0.0,1.0,Provisional,No general pathway identified
Michigan,MI,1,1,1,0,0,0,0,Michigan recognizes automated operation without a physically present human.,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-300-1949-VI-AUTOMATED-VEHICLES,Preliminary review,2026-07-20,Michigan official government source (legislature.mi.gov),Legislation or statute,Source added,Midwest,State,True,0.0,0.0,0.0,0.0,0.0,Provisional,Legal pathway identified
