requirement_id,state,state_code,activity,category,measure,legal_finding,base_score,scope_band,scope_factor,adjusted_score,include_in_index,coding_status,source_url,last_verified,coding_note
AL-ME-01,Alabama,AL,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,General commercial pathway identified,0.0,Fully,1.0,0.0,True,Provisional - source review required,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2024RS/SB226-enr.pdf,2026-07-20,
AK-ME-01,Alaska,AK,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,No commercial or testing pathway identified in the cited evidence,1.0,Fully,1.0,1.0,True,Provisional - source review required,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB%20217,2026-07-20,
AK-OO-01,Alaska,AK,Commercial driverless passenger service,Other operational restrictions,Separate local AV rules,Broad local AV rulemaking authority recorded,0.1,Fully,1.0,0.1,True,Provisional - source review required,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB%20217,2026-07-20,
AZ-ME-01,Arizona,AZ,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,General commercial pathway identified,0.0,Fully,1.0,0.0,True,Provisional - source review required,https://azdot.gov/mvd/services/professional-services/autonomous-vehicles-testing-and-operating-state-arizona,2026-07-20,
AZ-SA-01,Arizona,AZ,Commercial driverless passenger service,Screening and approval,Separate AV permit or approval,Separate AV-specific approval recorded,0.05,Fully,1.0,0.05,True,Provisional - source review required,https://azdot.gov/mvd/services/professional-services/autonomous-vehicles-testing-and-operating-state-arizona,2026-07-20,
AR-ME-01,Arkansas,AR,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,General commercial pathway identified,0.0,Fully,1.0,0.0,True,Provisional - source review required,https://arkleg.state.ar.us/Acts/FTPDocument?ddBienniumSession=2021%2F2021R&file=619.pdf&path=%2FACTS%2F2021R%2FPublic%2F,2026-07-20,
AR-SA-01,Arkansas,AR,Commercial driverless passenger service,Screening and approval,Separate AV permit or approval,Separate AV-specific approval recorded,0.05,Fully,1.0,0.05,True,Provisional - source review required,https://arkleg.state.ar.us/Acts/FTPDocument?ddBienniumSession=2021%2F2021R&file=619.pdf&path=%2FACTS%2F2021R%2FPublic%2F,2026-07-20,
CA-ME-01,California,CA,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,General commercial pathway identified,0.0,Fully,1.0,0.0,True,Provisional - source review required,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/,2026-07-20,
CA-SA-01,California,CA,Commercial driverless passenger service,Screening and approval,Separate AV permit or approval,Separate AV-specific approval recorded,0.05,Fully,1.0,0.05,True,Provisional - source review required,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/,2026-07-20,
CA-OO-01,California,CA,Commercial driverless passenger service,Other operational restrictions,Separate local AV rules,Broad local AV rulemaking authority recorded,0.1,Fully,1.0,0.1,True,Provisional - source review required,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/,2026-07-20,
CA-OO-02,California,CA,Commercial driverless passenger service,Other operational restrictions,AV-specific financial responsibility,"Recorded minimum: $5,000,000",0.05,Fully,1.0,0.05,True,Provisional - source review required,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/,2026-07-20,Applied only when the recorded amount governs the headline commercial activity; ordinary auto insurance is not scored.
CO-ME-01,Colorado,CO,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,General commercial pathway identified,0.0,Fully,1.0,0.0,True,Provisional - source review required,https://leg.colorado.gov/bills/sb17-213,2026-07-20,
CT-ME-01,Connecticut,CT,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,No commercial or testing pathway identified in the cited evidence,1.0,Fully,1.0,1.0,True,Provisional - source review required,https://www.cga.ct.gov/2017/act/pa/2017PA-00069-R00SB-00260-PA.htm,2026-07-20,
CT-OO-01,Connecticut,CT,Commercial driverless passenger service,Other operational restrictions,Separate local AV rules,Broad local AV rulemaking authority recorded,0.1,Fully,1.0,0.1,True,Provisional - source review required,https://www.cga.ct.gov/2017/act/pa/2017PA-00069-R00SB-00260-PA.htm,2026-07-20,
DE-ME-01,Delaware,DE,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,No commercial or testing pathway identified in the cited evidence,1.0,Fully,1.0,1.0,True,Provisional - source review required,https://deldot.gov/Programs/autonomous-vehicles/index.shtml,2026-07-20,
DE-OO-01,Delaware,DE,Commercial driverless passenger service,Other operational restrictions,Separate local AV rules,Broad local AV rulemaking authority recorded,0.1,Fully,1.0,0.1,True,Provisional - source review required,https://deldot.gov/Programs/autonomous-vehicles/index.shtml,2026-07-20,
FL-ME-01,Florida,FL,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,General commercial pathway identified,0.0,Fully,1.0,0.0,True,Provisional - source review required,https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0300-0399%2F0316%2FSections%2F0316.85.html,2026-07-20,
GA-ME-01,Georgia,GA,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,General commercial pathway identified,0.0,Fully,1.0,0.0,True,Provisional - source review required,https://www.legis.ga.gov/api/document/docs/default-source/general-statutes/17sumdoc.pdf,2026-07-20,
HI-ME-01,Hawaii,HI,Commercial driverless passenger service,Market-entry restrictions,Commercial market pathway,Testing or controlled-pilot pathway only,0.5,Fully,1.0,0.5,True,Provisional - source review required,https://hidot.hawaii.gov/highways/hdot-launches-autonomous-electric-shuttle-at-daniel-k-inouye-international-airport/,2026-07-20,
HI-SA-01,Hawaii,HI,Commercial driverless passenger service,Screening and approval,Separate AV permit or approval,Separate AV-specific approval recorded,0.05,Fully,1.0,0.05,True,Provisional - source review required,https://hidot.hawaii.gov/highways/hdot-launches-autonomous-electric-shuttle-at-daniel-k-inouye-international-airport/,2026-07-20,
