state,state_code,policy_summary,source_name,source_type,source_url,source_status,last_verified
Alabama,AL,Alabama authorizes ADS-equipped vehicles under statewide rules and limits separate requirements from political subdivisions.,Alabama official government source (alison.legislature.state.al.us),Legislation or statute,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2024RS/SB226-enr.pdf,Source added,2026-07-20
Alaska,AK,"Alaska considered autonomous vehicle legislation during the 2025-2026 legislative session, but a settled comprehensive framework for broad commercial driverless operation was not identified in this preliminary review.",Alaska official government source (akleg.gov),Legislation or statute,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB%20217,Source added,2026-07-20
Arizona,AZ,Statewide framework supports testing and commercial operation.,Arizona Department of Transportation,Transportation agency,https://azdot.gov/mvd/services/professional-services/autonomous-vehicles-testing-and-operating-state-arizona,Official source verified,2026-07-20
Arkansas,AR,Arkansas permits autonomous and fully autonomous vehicles through a State Highway Commission-approved program. Local governments cannot impose separate AV requirements or taxes.,Arkansas official government source (arkleg.state.ar.us),Needs source review,https://arkleg.state.ar.us/Acts/FTPDocument?ddBienniumSession=2021%2F2021R&file=619.pdf&path=%2FACTS%2F2021R%2FPublic%2F,Source added,2026-07-20
California,CA,Commercial deployment is allowed through a more complex permit system.,,Missing,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/,Official source added,2026-07-20
Colorado,CO,Statewide law authorizes automated driving systems and limits separate local standards.,Colorado official government source (leg.colorado.gov),Government agency,https://leg.colorado.gov/bills/sb17-213,Source added,2026-07-20
Connecticut,CT,"Connecticut primarily allows autonomous vehicle testing through a controlled pilot framework. Testers must register vehicles, and the framework does not broadly authorize commercial driverless deployment.",Connecticut official government source (cga.ct.gov),Government agency,https://www.cga.ct.gov/2017/act/pa/2017PA-00069-R00SB-00260-PA.htm,Source added,2026-07-20
Delaware,DE,Delaware has an autonomous vehicle advisory council but no comprehensive enacted framework for broad driverless commercial deployment. Pending legislation would require a human safety operator in certain heavy autonomous vehicles.,Delaware official government source (deldot.gov),Transportation agency,https://deldot.gov/Programs/autonomous-vehicles/index.shtml,Source added,2026-07-20
Florida,FL,Fully autonomous operation is permitted under statewide rules.,,Missing,,Missing source,2026-07-20
Georgia,GA,"Georgia allows fully autonomous vehicles to operate without a human driver when federal safety, registration, insurance, and traffic-law requirements are satisfied.",Georgia official government source (legis.ga.gov),Legislation or statute,https://www.legis.ga.gov/api/document/docs/default-source/general-statutes/17sumdoc.pdf,Source added,2026-07-20
Hawaii,HI,"Hawaii has deployed autonomous passenger shuttles in a limited airport setting, but no comprehensive statewide framework for broad public commercial driverless service was identified.",Hawaii official government source (hidot.hawaii.gov),Transportation agency,https://hidot.hawaii.gov/highways/hdot-launches-autonomous-electric-shuttle-at-daniel-k-inouye-international-airport/,Source added,2026-07-20
Idaho,ID,"Idaho created a committee to study autonomous vehicle testing and deployment, but no comprehensive statewide framework for broad commercial driverless operation was identified in this review.",Idaho official government source (apps.itd.idaho.gov),Government agency,https://apps.itd.idaho.gov/Apps/MediaManagerMVC/PressRelease/Preview/6989,Source added,2026-07-20
Illinois,IL,"Illinois has considered several competing proposals covering autonomous vehicle testing, deployment, and restrictions. A settled comprehensive statewide commercial framework was not identified in this preliminary review.",Illinois official government source (ilga.gov),Legislation or statute,https://www.ilga.gov/Legislation/BillStatus?DocNum=4663&DocTypeID=HB&GAID=18&SessionID=114,Source added,2026-07-20
Indiana,IN,Indiana does not currently allow fully autonomous vehicles to operate on public roads. Existing vehicle and traffic laws continue to assume the presence of a human driver.,Indiana official government source (in.gov),Government agency,https://www.in.gov/indot/emerging-mobility/connected-and-automated-vehicles/,Source added,2026-07-20
Iowa,IA,Iowa authorizes driverless-capable vehicles under statewide Iowa DOT rules. Level 4 and Level 5 vehicles may operate without a conventional human driver.,Iowa official government source (legis.iowa.gov),Legislation or statute,https://www.legis.iowa.gov/docs/aco/arc/5621C.pdf,Source added,2026-07-20
Kansas,KS,"Kansas permits driverless-capable vehicles and autonomous transportation networks under statewide rules. Operators must meet insurance, registration, and law-enforcement interaction requirements.",Kansas official government source (kslegislature.gov),Legislation or statute,https://www.kslegislature.gov/li_2022/b2021_22/measures/documents/summary_sb_313_2022.pdf,Source added,2026-07-20
Kentucky,KY,"Kentucky permits fully autonomous operation and uses statewide rules. Vehicles over 62,000 pounds temporarily require a human driver through July 31, 2026.",Kentucky official government source (apps.legislature.ky.gov),Legislation or statute,https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=55488,Source added,2026-07-20
Louisiana,LA,"Louisiana has statewide rules for autonomous commercial motor vehicles, including vehicles designed to operate without a driver.",Louisiana official government source (legis.la.gov),Legislation or statute,https://legis.la.gov/legis/Law.aspx?d=1148306,Source added,2026-07-20
Maine,ME,Maine has a state AV pilot program that allows approved testing on public roads. It does not broadly authorize public commercial driverless service.,Maine official government source (maine.gov),Government agency,https://www.maine.gov/sos/sites/maine.gov.sos/files/content/assets/229c800.docx,Source added,2026-07-20
Maryland,MD,Maryland does not yet have a comprehensive enacted framework for broad commercial driverless operation. Legislation proposing such a framework was considered during the 2026 session.,Maryland official government source (mgaleg.maryland.gov),Government agency,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/hb1295?ys=2026rs,Source added,2026-07-20
Massachusetts,MA,Massachusetts permits approved testing of automated driving systems on public roads. MassDOT approval and designated human test drivers are required under the current testing process.,Massachusetts official government source (mass.gov),Government agency,https://www.mass.gov/guides/testing-automated-driving-systems-in-massachusetts,Source added,2026-07-20
Michigan,MI,Michigan recognizes automated operation without a physically present human.,Michigan official government source (legislature.mi.gov),Legislation or statute,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-300-1949-VI-AUTOMATED-VEHICLES,Source added,2026-07-20
Minnesota,MN,Minnesota does not currently have a comprehensive autonomous vehicle statute. Testing and operation must comply with existing traffic and vehicle laws.,Minnesota official government source (dot.state.mn.us),Transportation agency,https://dot.state.mn.us/automated/preparingmn.html,Source added,2026-07-20
